name,section1_jobs
Organic Agriculture Production NC II,"Organic Agriculture Farmer, Organic Chicken Raiser, Organic Hogs Raiser, Organic Small Ruminants Raiser, Organic Vegetables Farmer, Organic Concoctions and Extracts Producer, Organic Fertilizer Producer"
Plumbing NC II,Plumber II
PV Systems Installation NC II,"PV Systems Installation Technician, PV Systems Commissioning Technician"
RAC Servicing (DomRAC) NC II,Domestic Refrigeration and Air-conditioning Technician
Rice Machinery Operations NC II,"Rice Land Preparation Machinery Operator (Hand Tractor, 4-Wheel Tractor), Rice Crop Establishment Machinery Operator (Manual Seeder, Motorized Seeder, Rice Transplanter), Rice Crop Care Machinery Operator (Irrigation Pump, Cultivator, Sprayer, Fertilizer Applicator), Rice Harvesting and Threshing Machinery Operator (Reaper, Stripper, Combine, Thresher), Rice Drying Machinery Operator (Batch, Continuous Flow Dryer), Rice Mill Machinery Operator (Single-Pass, Multi-Pass), Rice Machinery Operator"
Scaffolding Works (Supported Type Scaffold) NC II,"Erect and dismantle supported type scaffold, Handle, segregate and stack scaffolding components, Scaffolder"
Shielded Metal Arc Welding (SMAW) NC I,Plate Welder (SMAW)
Shielded Metal Arc Welding (SMAW) NC II,SMAW Welder
Shielded Metal Arc Welding (SMAW) NC III,"Plate Welder (SMAW), Pipe Welder (SMAW), Plate Welder (SMAW - Alloy Steel)"
Ship_s Catering Services  NC I,Messman
Slaughtering Operations (Swine) NC II,Slaughterhouse Butcher (Swine)
Tailoring NC II,"Tailor, Garment Sewer"
Technical Drafting NC II,"Draftsman, CAD operator"
Tile Setting NC II,Tile-Setter
